,x_m,y_m,c
102,48.80020591,0.996126251,0.00034464502921630784
103,49.16428411,1.00400106,0.0004161606956019834
104,49.52836042,1.01193103,0.0004893084444349378
105,49.89243432000001,1.019925852,0.00056083879308303
106,50.25650524,1.027995001,0.0006328648899265612
107,50.620572730000006,1.03614802,0.0007055164598743632
108,50.984636140000006,1.04439453,0.0007781279801343204
109,51.34869495,1.052744149,0.0008496504838563642
110,51.7127486,1.061206349,0.0009222687768692479
111,52.07679663,1.069790749,0.0009943945347116027
112,52.440838330000005,1.078506896,0.0010664594980319007
113,52.804873240000006,1.087364334,0.0011396646297926521
114,53.1689008,1.096372755,0.0012106677179857844
115,53.53292049,1.105541559,0.0012839003632700056
116,53.89693172,1.114880439,0.001355455880157729
117,54.26093392,1.124398865,0.001428696214608872
118,54.62492658000001,1.134106531,0.001500288789614265
119,54.9889091,1.144012909,0.0015724026957053812
120,55.35288106,1.154127544,0.0016451550911155133
121,55.71684173,1.164460056,0.001717842182162746
122,56.080790660000005,1.1750200629999998,0.0017894537463691667
123,56.44472735,1.1858170380000002,0.0018622190993848678
124,56.80865107,1.196860599,0.0019222460973372117
125,57.1725616,1.208158689,0.0013911572919682938
126,57.53646295,1.21964099,2.1546578171526372e-05
127,57.90036612,1.231126206,0.001412936455656554
128,58.26428241000001,1.242424442,0.002846653106390134
129,58.628223180000006,1.253345876,0.004281030065718712
130,58.9921998,1.26370054,0.005713073101769176
131,59.35622364,1.2732986839999998,0.0071452160968298924
132,59.720306140000005,1.2819504149999998,0.008575985424533914
133,60.084458530000006,1.2894658369999998,0.010004426288510039
134,60.448692300000005,1.295655128,0.011430458393062379
135,60.81301869000001,1.3003284659999998,0.012854565604082517
136,61.177449210000006,1.303295883,0.014273124227936041
137,61.54199508000001,1.304367631,0.015984702094967582
138,61.90664952,1.303314465,0.01902132357301421
139,62.27132408,1.299731528,0.022446124345965622
140,62.63590748,1.293164634,0.02589336695489954
141,63.00028837000001,1.2831597380000002,0.02936852555371124
142,63.36435557,1.269262726,0.03287388976038563
143,63.72799773,1.251019408,0.036407775747208784
144,64.09110365,1.227975743,0.03997025628545848
145,64.45356198,1.199677543,0.0435540655578172
146,64.81526147,1.165670764,0.04715344692768577
147,65.17609084,1.125501218,0.050754886929980154
148,65.53593881,1.078714862,0.05434504515140722
149,65.89469413,1.024857581,0.057901930444076655
150,66.25224551,0.963475625,0.06029774339122019
151,66.60847951,0.894264621,0.059883536626916554
152,66.96327742,0.817294232,0.059052290861872914
153,67.31651966,0.732691322,0.05823292278805971
154,67.66808673,0.640583119,0.05743428616785828
155,68.01785913,0.541096486,0.05665481859639139
156,68.36571727,0.4343585789999999,0.055899740343359886
157,68.71154159,0.320496481,0.05517215007437114
158,69.05521251,0.199637127,0.054471747866087286
159,69.39661058,0.0719076009999999,0.053802403965451995
160,69.73561617,-0.062565015,0.05316588047711071
161,70.07210985,-0.203653786,0.052562629510997334
162,70.40597188,-0.351231554,0.05199459869170093
163,70.73708291,-0.505171312,0.0514639865539143
164,71.0653233,-0.665346049,0.05097023111004544
165,71.39057353,-0.831628683,0.0505158079966087
166,71.71271404,-1.003892204,0.0501004088886347
167,72.03162531,-1.1820095309999998,0.04972612878174247
168,72.34718777,-1.3658536529999998,0.049392382902258336
169,72.65928192,-1.555297488,0.04910173448763301
170,72.9677881,-1.7502140270000002,0.04885253469984574
171,73.27258696,-1.950476261,0.04864729952897894
172,73.57355878,-2.155957033,0.04848671014111765
173,73.87058404,-2.366529407,0.04837025706072053
174,74.16354325,-2.582066375,0.04829792657794244
175,74.45231691000001,-2.802440706,0.04874290811182128
176,74.73676831,-3.027590975,0.05135868409916699
177,75.01668226,-3.257755897,0.05455412582814821
178,75.29182109,-3.493260756,0.05767908265953562
179,75.56194701,-3.734430765,0.06070655072097611
180,75.8268224,-3.981591061,0.06361101999862848
181,76.08620949,-4.235066856,0.06559761402572478
182,76.33990702,-4.495075662,0.06398330138228411
183,76.58788228,-4.761338538,0.06145050433813463
184,76.830151,-5.033433214,0.05904466911133927
185,77.06672899,-5.310937562,0.05676702894735877
186,77.29763192,-5.593429311,0.05461730119781284
187,77.52287561,-5.880486334,0.05264145120334887
188,77.74247484,-6.171695613,0.051635284080344936
189,77.95642568,-6.466812312,0.05141358922699374
